file,ex_index,level,overlap_pct,overlap_reverse_pct,best_match_other_idx,best_match_other_overlap_pct,shuffled_signal,verdict,touched_by_21b141a,folder,statement_start,solution_start
content/liceu/artistic/cls10/m1-procesare-text/lectia1-documente-formatare.html,1,minim,34.5,47.5,2,12.7,False,ok,False,liceu/artistic,"Exercitiul 1 (Nivel minim) — Eticheta de expozitie Deschide un procesor de text (Microsoft Word, LibreOffice Writer sau ","Rezolvare pas cu pas: Deschide procesorul de text. Aspect pagina: margini Stanga, Dreapta, Sus, Jos = 2 cm; Orientare = "
content/liceu/artistic/cls10/m1-procesare-text/lectia1-documente-formatare.html,2,standard,41.5,53.7,3,13.2,False,ok,False,liceu/artistic,Exercitiul 2 (Nivel standard) — Descrierea unei tehnici artistice Scrie un text de 150–200 de cuvinte despre o tehnica a,"Titlu (Bold, 16 pt, aliniat Stanga, spatiu dupa paragraf 12 pt): Acuarela - tehnica transparentei . Corp text: scrii 150"
content/liceu/artistic/cls10/m1-procesare-text/lectia1-documente-formatare.html,3,performanta,34.8,47.1,2,11.6,False,ok,False,liceu/artistic,Exercitiul 3 (Nivel performanta) — Mini-portofoliu de prezentare Creeaza un document de 1–2 pagini care sa fie inceputul,"Schita de rezolvare (structura, nu textul finit - pe acela il scrii tu): Titlu principal: numele tau, formatat vizibil ("
content/liceu/artistic/cls10/m1-procesare-text/lectia2-stiluri-sabloane.html,1,minim,33.3,64.9,3,13.9,False,ok,False,liceu/artistic,"Exercitiul 1 (Nivel minim) — Aplica si identifica stiluri Deschide un document nou. Scrie un titlu principal, doua subti","Pasii: Deschide un document nou si scrie textul: un titlu principal, doua subtitluri, trei paragrafe (poti folosi un tex"
content/liceu/artistic/cls10/m1-procesare-text/lectia2-stiluri-sabloane.html,2,standard,28.0,53.8,1,10.7,False,ok,False,liceu/artistic,Exercitiul 2 (Nivel standard) — Document cu cuprins si antet Creaza un document de 2-3 pagini pe tema Curentele principa,"Pasii: Scrie textul pe 2-3 pagini despre curentele picturii moderne, cu minim 3 capitole (aplica Titlu 1 fiecaruia) si 2"
content/liceu/artistic/cls10/m1-procesare-text/lectia2-stiluri-sabloane.html,3,performanta,26.2,63.5,1,10.3,False,ok,False,liceu/artistic,Exercitiul 3 (Nivel performanta) — Sablon fisa de portofoliu Proiecteaza un sablon pentru fisa de portofoliu a unui arti,Schita de rezolvare (nu produsul finit): Antet: numele artistului + text de tip [LOGO] ca substituent — lectia nu explic
content/liceu/artistic/cls10/m1-procesare-text/lectia3-cv-portofoliu.html,1,minim,32.3,55.3,3,4.6,False,ok,False,liceu/artistic,Exercitiul 1 (Nivel minim) — CV de artist schematic Creeaza un document Word/LibreOffice cu urmatoarea structura: Numele,"Structura documentului, cu numele tau inlocuit cu numele real: Numele Tau — Titlu 1 (selectezi randul, apoi din panoul S"
content/liceu/artistic/cls10/m1-procesare-text/lectia3-cv-portofoliu.html,2,standard,27.9,45.9,1,9.8,False,ok,False,liceu/artistic,Exercitiul 2 (Nivel standard) — Fisa de portofoliu Alege (sau fotografiaza) 3 lucrari proprii (sau opere din patrimoniul,"Fisa are 3 pagini, una per opera (poti pune un salt de pagina intre ele: Insert → Page Break). Fiecare pagina urmeaza ac"
content/liceu/artistic/cls10/m1-procesare-text/lectia3-cv-portofoliu.html,3,performanta,23.9,46.7,1,9.1,False,ok,False,liceu/artistic,Exercitiul 3 (Nivel performanta) — Campanie de comunicare catre galerii Creeaza un pachet complet: (1) un CV de artist c,"Schita de rezolvare (nu produsul finit): CV de artist — reia structura de la Exercitiul 1, completa cu toate sectiunile "
content/liceu/artistic/cls10/m2-calcul-tabelar/lectia1-tabel-formule.html,1,minim,23.7,29.0,3,13.2,False,ok,False,liceu/artistic,Exercitiul 1 (Nivel minim) — Identificare si terminologie Deschide Google Sheets sau Microsoft Excel si creeaza o foaie ,"Raspunsuri, pe rand: (a) Adresa se formeaza din litera coloanei urmata de numarul randului. Coloana D, randul 5 = D5 . ("
content/liceu/artistic/cls10/m2-calcul-tabelar/lectia1-tabel-formule.html,2,standard,27.8,32.3,3,5.6,False,ok,False,liceu/artistic,Exercitiul 2 (Nivel standard) — Evidenta lucrarilor Construieste o foaie de calcul cu minim 5 lucrari artistice (reale s,"Exemplu de tabel (5 lucrari, randurile 2-6): A1=Titlu, B1=Tehnica, C1=Pret RON (antet). A2=Peisaj de toamna, B2=Ulei, C2"
content/liceu/artistic/cls10/m2-calcul-tabelar/lectia1-tabel-formule.html,3,performanta,15.9,31.2,1,4.8,False,ok,False,liceu/artistic,Exercitiul 3 (Nivel performanta) — Buget materiale cu referinta absoluta Creezi un buget pentru un proiect artistic. Col,"Schita de rezolvare (nu raspunsul gata calculat — completezi tu valorile): Antet pe randul 1: A1=Material, B1=Cantitate,"
content/liceu/artistic/cls10/m2-calcul-tabelar/lectia2-functii-diagrame.html,1,minim,20.5,26.7,2,5.1,False,ok,False,liceu/artistic,"Exercitiul 1 (Nivel minim) — MIN, MAX si NUMARADACA Creeaza o foaie de calcul cu urmatoarele date despre 6 lucrari ale u","Tabel cu 6 lucrari, randurile 2-7 (antet pe randul 1: A=Titlu, B=Tehnica, C=Pret in lei): Peisaj de toamna / Acrilic / 6"
content/liceu/artistic/cls10/m2-calcul-tabelar/lectia2-functii-diagrame.html,2,standard,26.8,39.3,1,12.2,False,ok,False,liceu/artistic,"Exercitiul 2 (Nivel standard) — DACA si Formatare conditionala Pornind de la tabelul de la Exercitiul 1, adauga o coloan","Pornind de la tabelul de la Exercitiul 1 (preturi: 650, 300, 1200, 450, 250, 800): In D1 scrii antetul Categorie pret . "
content/liceu/artistic/cls10/m2-calcul-tabelar/lectia2-functii-diagrame.html,3,performanta,27.3,52.5,2,10.4,False,ok,False,liceu/artistic,Exercitiul 3 (Nivel performanta) — Diagrama si prezentare Extinde tabelul la 10 lucrari. Adauga o coloana Status (valori,"Nu-ti dau tabelul gata facut - la nivel performanta il construiesti singur. Schita de rezolvare: Extinzi la 10 randuri, "
content/liceu/artistic/cls10/m2-calcul-tabelar/lectia3-evidenta-buget.html,1,minim,50.0,48.6,3,23.5,False,ok,False,liceu/artistic,Exercitiul 1 (Nivel minim) - Buget de materiale simplu Creaza o foaie de calcul cu 6 materiale pentru un proiect de pict,"Antet pe randul 1, date pe randurile 2-7, total pe randul 8. Antet: A1 =Material, B1 =Cantitate, C1 =Pret unitar (RON), "
content/liceu/artistic/cls10/m2-calcul-tabelar/lectia3-evidenta-buget.html,2,standard,46.2,60.0,3,21.2,False,ok,False,liceu/artistic,Exercitiul 2 (Nivel standard) - Registru de lucrari cu formatare conditionala Creaza un registru cu minimum 8 lucrari fi,"Antet rand 1, minimum 8 lucrari pe randurile 2-9. Antet: A1 Titlu, B1 Tehnica, C1 Dimensiuni, D1 An, E1 Stare, F1 Pret ("
content/liceu/artistic/cls10/m2-calcul-tabelar/lectia3-evidenta-buget.html,3,performanta,36.0,64.3,2,17.3,False,ok,False,liceu/artistic,Exercitiul 3 (Nivel performanta) - Fisier complet cu doua foi si analiza Construieste un fisier cu doua foi de lucru: Re,"Nu iti dau fisierul gata - iti dau ordinea pasilor si capcanele. Foaia Registru_Lucrari : minimum 10 lucrari, coloana St"
content/liceu/artistic/cls10/m3-editare-imagine/lectia1-editor-straturi.html,1,minim,23.3,43.8,2,15.0,False,ok,False,liceu/artistic,"Exercitiul 1 (Nivel minim) — Identificarea interfetei Deschide Photopea (photopea.com, gratuit in browser) sau GIMP si i","Rezolvare model: (a) Bara de instrumente (Toolbox): se afla de obicei in partea stanga a ferestrei, atat in GIMP cat si "
content/liceu/artistic/cls10/m3-editare-imagine/lectia1-editor-straturi.html,2,standard,33.3,47.7,1,9.5,False,ok,False,liceu/artistic,Exercitiul 2 (Nivel standard) — Compozitie pe straturi In Photopea sau GIMP: (1) Deschide o fotografie cu un fundal simp,Pasi: Deschide fotografia (File > Open); ea devine automat stratul Background . Apasa butonul + din panoul Layers (sau L
content/liceu/artistic/cls10/m3-editare-imagine/lectia1-editor-straturi.html,3,performanta,20.8,43.9,2,9.2,False,ok,False,liceu/artistic,Exercitiul 3 (Nivel performanta) — Schimbarea fundalului cu selectie In Photopea sau GIMP: (1) Alege o fotografie cu un ,Schita de rezolvare (nu solutia gata facuta): Alege fotografia si deschide-o; verifica ca fondul e cat mai uniform ca lu
content/liceu/artistic/cls10/m3-editare-imagine/lectia2-ajustari-corectii.html,1,minim,22.0,41.9,3,20.3,False,ok,False,liceu/artistic,Exercitiul 1 (Nivel minim) - Identifica problema Descrie in cuvinte proprii ce vei corecta in fiecare caz de mai jos si ,"Fiecare caz e o problema diferita de expunere/culoare, rezolvata cu instrumentul potrivit din lectie: (a) Desenul in car"
content/liceu/artistic/cls10/m3-editare-imagine/lectia2-ajustari-corectii.html,2,standard,15.9,30.3,3,20.6,True,suspect,False,liceu/artistic,Exercitiul 2 (Nivel standard) - Corectie pas cu pas in Photopea Deschide orice fotografie de exterior in Photopea (photo,"Flux complet in Photopea, pe strat duplicat (Layer → Duplicate Layer, ca originalul sa ramana intact dedesubt): Levels ("
content/liceu/artistic/cls10/m3-editare-imagine/lectia2-ajustari-corectii.html,3,performanta,29.9,42.6,1,11.7,False,ok,False,liceu/artistic,"Exercitiul 3 (Nivel performanta) - Digitalizarea unui desen propriu Scaneaza sau fotografiaza un desen propriu (creion, ",Nu exista un raspuns unic - depinde de desenul propriu. Schita de rezolvare: Fotografiaza sau scaneaza desenul cu lumina
content/liceu/artistic/cls10/m3-editare-imagine/lectia3-export-pregatire.html,1,minim,23.7,27.3,3,10.5,False,ok,False,liceu/artistic,Exercitiul 1 (Nivel minim) - Identificare formate si rezolutii Citeste urmatoarele situatii si alege pentru fiecare: for,"Raspunsuri (format din JPEG/PNG/TIFF, rezolutie din 72-96 PPI/300 PPI): a) JPEG, 72-96 PPI. E o fotografie pentru ecran "
